architecture,graph_id,n_trajectories,n_converged,n_nonconverged,convergence_rate,nonconvergence_rate,T_conv_mean,T_conv_median,T_conv_p90,T_conv_p95,T_cens_mean,T_cens_median,T_cens_p90,T_cens_p95,final_RB_mean,total_edges,mean_degree,max_degree,total_boundary_edges
"baseline",16,50,50,0,1,0,7463.16,7069,10296.5,11646.05,7463.16,7069,10296.5,11646.05,0.8333333333,96,4.8,11,12
"baseline",17,50,50,0,1,0,9519.54,8949,13800,14849.15,9519.54,8949,13800,14849.15,0.8235294118,98,4.9,12,17
"baseline",18,50,50,0,1,0,6631.16,6507,9223.9,10392.7,6631.16,6507,9223.9,10392.7,0.8571428571,86,4.3,7,7
"baseline",19,50,50,0,1,0,8471.1,8247,10878,11597.85,8471.1,8247,10878,11597.85,0.8571428571,94,4.7,8,14
"baseline",20,50,50,0,1,0,6883.38,6653.5,9179.1,9715.25,6883.38,6653.5,9179.1,9715.25,0.875,80,4,9,8
"baseline",21,50,50,0,1,0,8357.1,7800.5,11798.9,12901.9,8357.1,7800.5,11798.9,12901.9,0.8888888889,95,4.75,8,9
"baseline",22,50,50,0,1,0,5817.92,5248,8027.8,10060.25,5817.92,5248,8027.8,10060.25,0.8,84,4.2,7,10
"baseline",23,50,50,0,1,0,6257.84,6150,7680.4,8426.3,6257.84,6150,7680.4,8426.3,0.8181818182,84,4.2,10,11
"baseline",24,50,50,0,1,0,9062.88,8618,11674.2,13631.4,9062.88,8618,11674.2,13631.4,0.8571428571,93,4.65,9,14
"baseline",25,50,50,0,1,0,5505.68,5339.5,7314.8,7531.55,5505.68,5339.5,7314.8,7531.55,0.8333333333,74,3.7,8,12
"baseline",26,50,50,0,1,0,9308.92,8720,12869.3,14244.7,9308.92,8720,12869.3,14244.7,0.8421052632,96,4.8,11,19
"baseline",27,50,50,0,1,0,6197.22,6130,7361.6,8158.75,6197.22,6130,7361.6,8158.75,0.8235294118,81,4.05,8,17
"baseline",28,50,50,0,1,0,5552.52,5540.5,6752.6,7986.4,5552.52,5540.5,6752.6,7986.4,0.875,77,3.85,9,8
"baseline",29,50,50,0,1,0,5794.16,5497.5,7881.3,8692.75,5794.16,5497.5,7881.3,8692.75,0.8333333333,83,4.15,8,12
"baseline",30,50,50,0,1,0,7516.04,7446,9471.7,9662.55,7516.04,7446,9471.7,9662.55,0.8333333333,85,4.25,8,12
"baseline",31,50,50,0,1,0,8392.18,7734,10766.9,13032.65,8392.18,7734,10766.9,13032.65,0.8461538462,104,5.2,9,13
"baseline",32,50,50,0,1,0,6394.76,6258.5,8419.3,9098.8,6394.76,6258.5,8419.3,9098.8,0.8,86,4.3,8,15
"baseline",33,50,50,0,1,0,7995.46,7581.5,11391.7,11983.95,7995.46,7581.5,11391.7,11983.95,0.8333333333,95,4.75,10,12
"baseline",34,50,50,0,1,0,8377.66,7980.5,11552.4,12746.2,8377.66,7980.5,11552.4,12746.2,0.8571428571,100,5,9,14
"baseline",35,50,50,0,1,0,6130.74,5721.5,8133.1,8953.3,6130.74,5721.5,8133.1,8953.3,0.8333333333,73,3.65,7,12
"baseline",36,50,50,0,1,0,6359.94,5997,8710.9,9742.2,6359.94,5997,8710.9,9742.2,0.8333333333,80,4,7,12
"baseline",37,50,50,0,1,0,7366.98,7071.5,9323.6,10454.8,7366.98,7071.5,9323.6,10454.8,0.8333333333,91,4.55,9,12
"baseline",38,50,50,0,1,0,8061.26,7545,11013.9,11390.05,8061.26,7545,11013.9,11390.05,0.8333333333,79,3.95,8,12
"baseline",39,50,50,0,1,0,6469.56,6199.5,8687.8,9931.5,6469.56,6199.5,8687.8,9931.5,0.8461538462,87,4.35,10,13
"baseline",40,50,50,0,1,0,7926.96,7403,11179.2,12850.7,7926.96,7403,11179.2,12850.7,0.8333333333,105,5.25,9,12
"baseline",41,50,50,0,1,0,9828.68,9214,12857.1,14856.25,9828.68,9214,12857.1,14856.25,0.8421052632,110,5.5,11,19
"baseline",42,50,50,0,1,0,8551.4,8213.5,11212.7,12624.65,8551.4,8213.5,11212.7,12624.65,0.8571428571,84,4.2,8,14
"baseline",43,50,50,0,1,0,5919.74,5970,7698.6,8037.4,5919.74,5970,7698.6,8037.4,0.8,80,4,7,10
"baseline",44,50,50,0,1,0,5679.54,5630,7289.4,7914.8,5679.54,5630,7289.4,7914.8,0.8,86,4.3,9,10
"baseline",45,50,50,0,1,0,7549.86,6782,10318,13012.1,7549.86,6782,10318,13012.1,0.8181818182,81,4.05,8,11
"baseline",46,50,50,0,1,0,5033.68,4775,6778,7647.85,5033.68,4775,6778,7647.85,0.8333333333,67,3.35,8,6
"baseline",47,50,50,0,1,0,9318.4,8865.5,12208,13301.2,9318.4,8865.5,12208,13301.2,0.8235294118,108,5.4,11,17
"baseline",48,50,50,0,1,0,7278.18,6506.5,9911.5,10317.95,7278.18,6506.5,9911.5,10317.95,0.8181818182,79,3.95,10,11
"baseline",49,50,50,0,1,0,6224.58,5809,7916.8,8515.95,6224.58,5809,7916.8,8515.95,0.8333333333,73,3.65,8,12
"baseline",50,50,50,0,1,0,9289.16,8272,12849.3,13275,9289.16,8272,12849.3,13275,0.8,95,4.75,11,20
"random_bridging",1,50,50,0,1,0,7042.94,6867,9148.4,9674.75,7042.94,6867,9148.4,9674.75,0.8333333333,89,4.45,8,12
"random_bridging",2,50,50,0,1,0,8273.2,7825,11292.3,12201.7,8273.2,7825,11292.3,12201.7,0.8333333333,90,4.5,10,12
"random_bridging",3,50,50,0,1,0,7208.48,6971.5,9474.9,9592.2,7208.48,6971.5,9474.9,9592.2,0.8333333333,91,4.55,8,12
"random_bridging",4,50,50,0,1,0,6294.26,5913.5,8488.6,9730.6,6294.26,5913.5,8488.6,9730.6,0.8333333333,89,4.45,10,12
"random_bridging",5,50,50,0,1,0,11192,10229,15450,19273.6,11192,10229,15450,19273.6,0.8333333333,114,5.7,12,12
"random_bridging",6,50,50,0,1,0,9546.92,9508.5,12768.3,13603.95,9546.92,9508.5,12768.3,13603.95,0.8333333333,106,5.3,9,12
"random_bridging",7,50,50,0,1,0,8413.18,7747.5,12385.2,13481.15,8413.18,7747.5,12385.2,13481.15,0.8333333333,102,5.1,11,12
"random_bridging",8,50,50,0,1,0,6285.08,6196,8153.2,8727.7,6285.08,6196,8153.2,8727.7,0.8333333333,91,4.55,9,12
"random_bridging",9,50,50,0,1,0,7252.26,7039,9249.7,10581.85,7252.26,7039,9249.7,10581.85,0.8333333333,80,4,8,12
"random_bridging",10,50,50,0,1,0,6635.48,6604,8695.2,9110.1,6635.48,6604,8695.2,9110.1,0.8333333333,88,4.4,9,12
"random_bridging",11,50,50,0,1,0,7409.54,6803,10018.4,11495.5,7409.54,6803,10018.4,11495.5,0.8333333333,85,4.25,7,12
"random_bridging",12,50,50,0,1,0,6494.04,6013,8457.9,10044.8,6494.04,6013,8457.9,10044.8,0.8333333333,84,4.2,8,12
"random_bridging",13,50,50,0,1,0,7580.8,7223,9873.7,10912.8,7580.8,7223,9873.7,10912.8,0.8333333333,99,4.95,10,12
"random_bridging",14,50,50,0,1,0,7045.94,7003,9089.5,9702.9,7045.94,7003,9089.5,9702.9,0.8333333333,77,3.85,7,12
"random_bridging",15,50,50,0,1,0,8830.22,8704.5,11403.6,11921.6,8830.22,8704.5,11403.6,11921.6,0.8333333333,102,5.1,9,12
"random_bridging",16,50,50,0,1,0,7666.1,7480,9675.3,10259.5,7666.1,7480,9675.3,10259.5,0.8333333333,96,4.8,11,12
"random_bridging",17,50,50,0,1,0,6256.28,6176,7795.6,8029.1,6256.28,6176,7795.6,8029.1,0.8333333333,93,4.65,9,12
"random_bridging",18,50,50,0,1,0,6733.88,6248.5,9293.7,10047.2,6733.88,6248.5,9293.7,10047.2,0.8333333333,91,4.55,8,12
"random_bridging",19,50,50,0,1,0,7673.96,7136,11151.4,13193.55,7673.96,7136,11151.4,13193.55,0.8333333333,92,4.6,7,12
"random_bridging",20,50,50,0,1,0,6587.46,6679.5,7649,8439.75,6587.46,6679.5,7649,8439.75,0.8333333333,84,4.2,8,12
"random_bridging",21,50,50,0,1,0,7887.64,7658.5,9710.3,10490.1,7887.64,7658.5,9710.3,10490.1,0.8333333333,98,4.9,9,12
"random_bridging",22,50,50,0,1,0,6659.12,6166.5,8457.2,9731.65,6659.12,6166.5,8457.2,9731.65,0.8333333333,86,4.3,7,12
"random_bridging",23,50,50,0,1,0,7578.62,7255.5,10182.4,12585.3,7578.62,7255.5,10182.4,12585.3,0.8333333333,85,4.25,9,12
"random_bridging",24,50,50,0,1,0,7439.16,6904,9735.7,11315.95,7439.16,6904,9735.7,11315.95,0.8333333333,91,4.55,8,12
"random_bridging",25,50,50,0,1,0,5797.82,5585,7372,7644.5,5797.82,5585,7372,7644.5,0.8333333333,74,3.7,9,12
"random_bridging",26,50,50,0,1,0,7247.1,6999,10536.5,11596.75,7247.1,6999,10536.5,11596.75,0.8333333333,89,4.45,9,12
"random_bridging",27,50,50,0,1,0,6596.3,6128.5,9556.1,10661.3,6596.3,6128.5,9556.1,10661.3,0.8333333333,76,3.8,8,12
"random_bridging",28,50,50,0,1,0,6062.38,5898,7808.1,8204.4,6062.38,5898,7808.1,8204.4,0.8333333333,81,4.05,9,12
"random_bridging",29,50,50,0,1,0,6632.48,6465,9079.7,9843.3,6632.48,6465,9079.7,9843.3,0.8333333333,83,4.15,9,12
"random_bridging",30,50,50,0,1,0,6989.14,6633.5,9334.8,9680.8,6989.14,6633.5,9334.8,9680.8,0.8333333333,85,4.25,9,12
"random_bridging",31,50,50,0,1,0,8215.58,7854,10320.9,11957,8215.58,7854,10320.9,11957,0.8333333333,103,5.15,10,12
"random_bridging",32,50,50,0,1,0,7310.74,7139,9938.6,10530.45,7310.74,7139,9938.6,10530.45,0.8333333333,83,4.15,8,12
"random_bridging",33,50,50,0,1,0,7901.26,7375,9995.2,11352.7,7901.26,7375,9995.2,11352.7,0.8333333333,95,4.75,9,12
"random_bridging",34,50,50,0,1,0,8077.62,8210.5,10361.8,12654.1,8077.62,8210.5,10361.8,12654.1,0.8333333333,98,4.9,9,12
"random_bridging",35,50,50,0,1,0,5516.5,5137.5,7544.2,7731.75,5516.5,5137.5,7544.2,7731.75,0.8333333333,73,3.65,7,12
"random_bridging",36,50,50,0,1,0,7585.78,7234.5,10594.1,11167.8,7585.78,7234.5,10594.1,11167.8,0.8333333333,80,4,8,12
"random_bridging",37,50,50,0,1,0,7731.78,7584,10289.1,11578.1,7731.78,7584,10289.1,11578.1,0.8333333333,91,4.55,9,12
"random_bridging",38,50,50,0,1,0,6638.92,6248,9239.3,10566.1,6638.92,6248,9239.3,10566.1,0.8333333333,79,3.95,7,12
"random_bridging",39,50,50,0,1,0,7339.68,6893,9817,10626.25,7339.68,6893,9817,10626.25,0.8333333333,86,4.3,11,12
"random_bridging",40,50,50,0,1,0,7617.02,7321,10472.1,10809.4,7617.02,7321,10472.1,10809.4,0.8333333333,105,5.25,9,12
"random_bridging",41,50,50,0,1,0,9309.86,9579.5,12239.5,12496.05,9309.86,9579.5,12239.5,12496.05,0.8333333333,103,5.15,12,12
"random_bridging",42,50,50,0,1,0,5357.52,5154.5,7270.9,7695,5357.52,5154.5,7270.9,7695,0.8333333333,82,4.1,7,12
"random_bridging",43,50,50,0,1,0,6287.2,5795,8525.4,8856,6287.2,5795,8525.4,8856,0.8333333333,82,4.1,7,12
"random_bridging",44,50,50,0,1,0,7551.32,7386.5,9912.8,10655.6,7551.32,7386.5,9912.8,10655.6,0.8333333333,88,4.4,10,12
"random_bridging",45,50,50,0,1,0,8152.4,7824,10994.8,11790.35,8152.4,7824,10994.8,11790.35,0.8333333333,82,4.1,9,12
"random_bridging",46,50,50,0,1,0,6799.22,6543.5,9379.8,10100.8,6799.22,6543.5,9379.8,10100.8,0.8333333333,73,3.65,8,12
"random_bridging",47,50,50,0,1,0,9042.64,8936,11234.7,12125,9042.64,8936,11234.7,12125,0.8333333333,103,5.15,9,12
"random_bridging",48,50,50,0,1,0,5441.04,5493.5,6793,6869.15,5441.04,5493.5,6793,6869.15,0.8333333333,80,4,9,12
"random_bridging",49,50,50,0,1,0,6264.48,6051,8105.3,9081.7,6264.48,6051,8105.3,9081.7,0.8333333333,73,3.65,8,12
"random_bridging",50,50,50,0,1,0,6556.84,6596.5,8364.9,9206.8,6556.84,6596.5,8364.9,9206.8,0.8333333333,87,4.35,9,12
"boundary_spanning",1,50,50,0,1,0,4377.22,4308.5,5110.9,5441.3,4377.22,4308.5,5110.9,5441.3,0.8333333333,89,4.45,9,12
"boundary_spanning",2,50,50,0,1,0,4354.74,4275.5,5243.5,5748.6,4354.74,4275.5,5243.5,5748.6,0.8333333333,90,4.5,10,12
"boundary_spanning",3,50,50,0,1,0,4295.24,4267.5,5144.4,5518.95,4295.24,4267.5,5144.4,5518.95,0.8333333333,91,4.55,10,12
"boundary_spanning",4,50,50,0,1,0,4646.3,4678.5,5424.7,5789.35,4646.3,4678.5,5424.7,5789.35,0.8333333333,89,4.45,10,12
"boundary_spanning",5,50,50,0,1,0,6294.4,6153,7645,7955.7,6294.4,6153,7645,7955.7,0.8333333333,114,5.7,14,12
"boundary_spanning",6,50,50,0,1,0,6210.28,6174.5,7298.3,7674.75,6210.28,6174.5,7298.3,7674.75,0.8333333333,106,5.3,12,12
"boundary_spanning",7,50,50,0,1,0,5615.32,5476.5,6753.8,6977.15,5615.32,5476.5,6753.8,6977.15,0.8333333333,102,5.1,10,12
"boundary_spanning",8,50,50,0,1,0,4897.92,4867,5920.7,6000.3,4897.92,4867,5920.7,6000.3,0.8333333333,91,4.55,12,12
"boundary_spanning",9,50,50,0,1,0,4057.58,4049,4913.6,4948.95,4057.58,4049,4913.6,4948.95,0.8333333333,80,4,9,12
"boundary_spanning",10,50,50,0,1,0,5181.66,5027,6302,6617.5,5181.66,5027,6302,6617.5,0.8333333333,88,4.4,10,12
"boundary_spanning",11,50,50,0,1,0,4118.58,4072,4816.9,4935.55,4118.58,4072,4816.9,4935.55,0.8333333333,85,4.25,9,12
"boundary_spanning",12,50,50,0,1,0,4811.1,4725,6042.4,6185.15,4811.1,4725,6042.4,6185.15,0.8333333333,84,4.2,8,12
"boundary_spanning",13,50,50,0,1,0,4279.38,4156.5,5156.8,5645,4279.38,4156.5,5156.8,5645,0.8333333333,99,4.95,10,12
"boundary_spanning",14,50,50,0,1,0,4116.9,3972,4658.7,5091.65,4116.9,3972,4658.7,5091.65,0.8333333333,77,3.85,8,12
"boundary_spanning",15,50,50,0,1,0,5363.32,5163.5,6420.9,6695.15,5363.32,5163.5,6420.9,6695.15,0.8333333333,102,5.1,11,12
"boundary_spanning",16,50,50,0,1,0,4384.82,4310,5390.9,5574.8,4384.82,4310,5390.9,5574.8,0.8333333333,96,4.8,10,12
"boundary_spanning",17,50,50,0,1,0,5035.98,5034,6048.9,6224.75,5035.98,5034,6048.9,6224.75,0.8333333333,93,4.65,11,12
"boundary_spanning",18,50,50,0,1,0,4210.94,4065,5148.3,5419.2,4210.94,4065,5148.3,5419.2,0.8333333333,91,4.55,8,12
"boundary_spanning",19,50,50,0,1,0,4620.16,4556,5554.5,5917.65,4620.16,4556,5554.5,5917.65,0.8333333333,92,4.6,10,12
"boundary_spanning",20,50,50,0,1,0,4300.08,4296.5,5004.1,5407.25,4300.08,4296.5,5004.1,5407.25,0.8333333333,84,4.2,9,12
"boundary_spanning",21,50,50,0,1,0,4649.7,4505.5,5585.4,5791.7,4649.7,4505.5,5585.4,5791.7,0.8333333333,98,4.9,10,12
"boundary_spanning",22,50,50,0,1,0,5169.64,5049,6513.4,6972.6,5169.64,5049,6513.4,6972.6,0.8333333333,86,4.3,11,12
"boundary_spanning",23,50,50,0,1,0,4692.26,4651.5,5662.8,5903.3,4692.26,4651.5,5662.8,5903.3,0.8333333333,85,4.25,12,12
"boundary_spanning",24,50,50,0,1,0,4154.68,4104,4745.2,5031.5,4154.68,4104,4745.2,5031.5,0.8333333333,91,4.55,8,12
"boundary_spanning",25,50,50,0,1,0,3817.42,3713,4537.3,4737.3,3817.42,3713,4537.3,4737.3,0.8333333333,74,3.7,8,12
"boundary_spanning",26,50,50,0,1,0,4111.66,4104.5,4753.9,5013.25,4111.66,4104.5,4753.9,5013.25,0.8333333333,89,4.45,9,12
"boundary_spanning",27,50,50,0,1,0,4258,4174,4959.9,5258.7,4258,4174,4959.9,5258.7,0.8333333333,76,3.8,11,12
"boundary_spanning",28,50,50,0,1,0,3676.1,3688,4155,4641.4,3676.1,3688,4155,4641.4,0.8333333333,81,4.05,8,12
"boundary_spanning",29,50,50,0,1,0,4295.76,4247.5,5178.7,5433.4,4295.76,4247.5,5178.7,5433.4,0.8333333333,83,4.15,9,12
"boundary_spanning",30,50,50,0,1,0,4071.84,4068.5,4771,5001.6,4071.84,4068.5,4771,5001.6,0.8333333333,85,4.25,9,12
"boundary_spanning",31,50,50,0,1,0,4912.82,4835,5640.9,5957.35,4912.82,4835,5640.9,5957.35,0.8333333333,103,5.15,9,12
"boundary_spanning",32,50,50,0,1,0,3874.6,3851,4519.6,4778,3874.6,3851,4519.6,4778,0.8333333333,83,4.15,7,12
"boundary_spanning",33,50,50,0,1,0,4586.92,4485.5,5472,5822.55,4586.92,4485.5,5472,5822.55,0.8333333333,95,4.75,9,12
"boundary_spanning",34,50,50,0,1,0,4907.94,4833,5838.3,6043.8,4907.94,4833,5838.3,6043.8,0.8333333333,98,4.9,11,12
"boundary_spanning",35,50,50,0,1,0,4345.2,4300,5102.3,5196.9,4345.2,4300,5102.3,5196.9,0.8333333333,73,3.65,11,12
"boundary_spanning",36,50,50,0,1,0,4162.74,4122,5018.1,5643,4162.74,4122,5018.1,5643,0.8333333333,80,4,9,12
"boundary_spanning",37,50,50,0,1,0,4702.48,4669,5764.4,5891.6,4702.48,4669,5764.4,5891.6,0.8333333333,91,4.55,11,12
"boundary_spanning",38,50,50,0,1,0,4604.26,4467,5245.6,5484.65,4604.26,4467,5245.6,5484.65,0.8333333333,79,3.95,10,12
"boundary_spanning",39,50,50,0,1,0,4010.02,3954.5,4872.5,5499.45,4010.02,3954.5,4872.5,5499.45,0.8333333333,86,4.3,10,12
"boundary_spanning",40,50,50,0,1,0,4835.98,4750,5912.3,6476.25,4835.98,4750,5912.3,6476.25,0.8333333333,105,5.25,12,12
"boundary_spanning",41,50,50,0,1,0,5994.16,5927.5,7249,7560.15,5994.16,5927.5,7249,7560.15,0.8333333333,103,5.15,14,12
"boundary_spanning",42,50,50,0,1,0,4460.38,4486,5353.3,5433.1,4460.38,4486,5353.3,5433.1,0.8333333333,82,4.1,9,12
"boundary_spanning",43,50,50,0,1,0,4150,4119.5,4790.2,5014.9,4150,4119.5,4790.2,5014.9,0.8333333333,82,4.1,10,12
"boundary_spanning",44,50,50,0,1,0,4550.24,4571,5193,5422.45,4550.24,4571,5193,5422.45,0.8333333333,88,4.4,10,12
"boundary_spanning",45,50,50,0,1,0,4904.94,4757,5945.5,6134.95,4904.94,4757,5945.5,6134.95,0.8333333333,82,4.1,10,12
"boundary_spanning",46,50,50,0,1,0,3505.44,3460.5,4104.4,4641.3,3505.44,3460.5,4104.4,4641.3,0.8333333333,73,3.65,8,12
"boundary_spanning",47,50,50,0,1,0,5109.54,5061,5825,5906.6,5109.54,5061,5825,5906.6,0.8333333333,103,5.15,12,12
"boundary_spanning",48,50,50,0,1,0,4401.3,4545,5175.8,5589,4401.3,4545,5175.8,5589,0.8333333333,80,4,12,12
"boundary_spanning",49,50,50,0,1,0,4199.12,4094,4793.7,5183.4,4199.12,4094,4793.7,5183.4,0.8333333333,73,3.65,8,12
"boundary_spanning",50,50,50,0,1,0,4514.56,4451,5559.4,5944,4514.56,4451,5559.4,5944,0.8333333333,87,4.35,14,12
